d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
170.654297,85.573,170.654297,85.569,170.654297,85.795,,,,
171.020508,85.592,171.020508,85.589,171.020508,85.815,,,,
171.386719,85.612,171.386719,85.609,171.386719,85.835,,,,
171.75293,85.631,171.75293,85.629,171.75293,85.855,,,,
172.119141,85.651,172.119141,85.648,172.119141,85.875,,,,
172.485352,85.67,172.485352,85.668,172.485352,85.895,,,,
172.851562,85.689,172.851562,85.687,172.851562,85.914,,,,
173.217773,85.708,173.217773,85.707,173.217773,85.934,,,,
173.583984,85.727,173.583984,85.726,173.583984,85.953,,,,
173.950195,85.747,173.950195,85.746,173.950195,85.973,,,,
174.316406,85.767,174.316406,85.766,174.316406,85.992,,,,
174.682617,85.787,174.682617,85.786,174.682617,86.012,,,,
175.048828,85.807,175.048828,85.806,175.048828,86.032,,,,
175.415039,85.827,175.415039,85.826,175.415039,86.052,,,,
175.78125,85.847,175.78125,85.846,175.78125,86.071,,,,
176.147461,85.868,176.147461,85.866,176.147461,86.091,,,,
176.513672,85.889,176.513672,85.885,176.513672,86.11,,,,
176.879883,85.91,176.879883,85.904,176.879883,86.129,,,,
177.246094,85.931,177.246094,85.924,177.246094,86.148,,,,
177.612305,85.953,177.612305,85.943,177.612305,86.167,,,,
177.978516,85.974,177.978516,85.962,177.978516,86.185,,,,
178.344727,85.996,178.344727,85.98,178.344727,86.204,,,,
178.710938,86.018,178.710938,85.999,178.710938,86.223,,,,
179.077148,86.04,179.077148,86.018,179.077148,86.242,,,,
